DATA,P,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
1991-01-14,15.617260932922363,90.19,21.26,24.42,19.36,2.02
1991-01-15,15.617260932922363,91.12,21.06,23.98,19.12,1.84
1991-01-16,4.654728889465332,87.44,21.13,25.33,17.93,2.3
1991-01-17,18.618915557861328,81.62,22.21,27.37,16.87,2.0
1991-01-18,13.964186668395996,85.12,22.97,27.29,19.07,1.8
1991-01-19,0.0,83.31,21.23,26.34,17.27,2.85
1991-01-20,0.0,82.94,21.42,26.62,17.01,2.57
1991-01-21,0.0,80.62,21.51,26.8,17.27,2.19
1991-01-22,0.0,79.69,21.62,27.0,17.51,1.65
1991-01-23,0.0,78.31,22.6,28.7,16.64,1.41
1991-01-24,0.0,79.75,23.37,28.92,18.73,1.63
1991-01-25,6.735673904418945,81.56,22.75,26.59,19.02,2.06
1991-01-26,9.189240455627441,76.25,23.68,28.58,18.94,2.05
1991-01-27,0.0,72.56,24.48,30.64,19.01,2.18
1991-01-28,0.0,75.44,24.11,30.59,19.0,1.55
1991-01-29,4.594620227813721,73.12,23.99,30.73,17.85,1.91
1991-01-30,0.0,75.88,22.4,28.01,17.65,1.7
1991-01-31,0.0,68.69,23.62,31.05,17.13,2.15
1991-02-01,0.0,66.5,23.42,31.29,17.1,2.39
1991-02-02,0.0,64.06,23.15,30.98,17.05,2.84
1991-02-03,0.0,65.31,23.03,30.42,16.26,2.82
1991-02-04,8.520432472229004,71.94,23.44,29.6,18.47,2.62
1991-02-05,0.0,66.0,24.05,31.79,18.34,2.85
1991-02-06,0.0,64.06,24.05,31.69,17.81,2.29
1991-02-07,0.0,71.62,24.26,31.87,18.35,1.8
1991-02-08,7.659961223602295,78.38,22.34,27.84,19.45,2.81
1991-02-09,7.659961223602295,70.75,24.23,31.37,18.29,1.89
1991-02-10,7.659961223602295,67.69,25.65,32.65,18.76,1.27
1991-02-11,5.163280487060547,69.69,25.65,32.06,19.33,1.13
1991-02-12,2.5816402435302734,75.0,25.56,31.66,20.29,1.3
1991-02-13,2.5816402435302734,78.94,24.92,29.35,21.17,1.27
1991-02-14,5.90089225769043,80.38,24.79,30.52,20.86,1.63
1991-02-15,5.163280487060547,76.88,25.27,30.95,21.34,2.09
1991-02-16,3.5058507919311523,69.62,25.37,32.89,19.88,2.55
1991-02-17,0.0,65.62,24.69,32.83,18.48,2.45
1991-02-18,0.0,63.44,24.35,32.73,17.93,2.2
1991-02-19,0.0,66.88,24.74,32.83,17.87,1.81
1991-02-20,3.5058507919311523,70.5,25.33,32.66,19.45,1.83
1991-02-21,0.0,70.5,25.01,32.43,19.75,2.78
1991-02-22,0.0,67.25,25.11,33.3,18.89,2.77
1991-02-23,0.0,65.0,26.41,34.15,18.91,1.62
1991-02-24,0.0,58.88,25.86,34.98,19.04,2.85
1991-02-25,0.0,67.44,23.05,29.71,18.2,3.13
1991-02-26,8.283217430114746,79.06,22.9,27.83,19.13,2.39
1991-02-27,4.141608715057373,73.06,23.8,30.72,19.17,2.78
1991-02-28,0.0,67.31,22.82,29.68,17.46,3.08
1991-03-01,0.0,68.06,23.55,30.73,18.23,3.05
1991-03-02,0.0,68.75,23.73,31.45,18.35,2.87
1991-03-03,0.0,62.38,24.44,33.12,17.59,2.98
1991-03-04,0.0,65.62,24.53,32.42,19.11,3.41
1991-03-05,0.0,70.69,23.55,30.48,19.14,3.48
1991-03-06,0.0,68.19,23.65,30.94,18.69,3.63
1991-03-07,0.0,65.38,24.48,32.8,18.17,3.53
1991-03-08,0.0,69.0,24.12,30.92,19.24,3.8
1991-03-09,0.0,72.88,23.46,30.26,18.8,3.21
1991-03-10,0.0,69.94,23.51,32.1,17.91,3.21
1991-03-11,0.0,66.06,23.68,32.18,16.79,2.99
